business_name,author_name,text,photo,rating,rating_category,language,text_en,review_length,word_count,char_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,tfidf_ambiance,tfidf_ate,tfidf_atmosphere,tfidf_bad,tfidf_beautiful,tfidf_best,tfidf_bit,tfidf_bread,tfidf_breakfast,tfidf_came,tfidf_clean,tfidf_come,tfidf_definitely,tfidf_delicious,tfidf_didn,tfidf_eat,tfidf_employees,tfidf_excellent,tfidf_expensive,tfidf_fast,tfidf_flavors,tfidf_food,tfidf_friendly,tfidf_good,tfidf_great,tfidf_high,tfidf_like,tfidf_liked,tfidf_little,tfidf_meat,tfidf_menu,tfidf_nice,tfidf_pizza,tfidf_place,tfidf_price,tfidf_prices,tfidf_quality,tfidf_really,tfidf_reasonable,tfidf_recommend,tfidf_restaurant,tfidf_say,tfidf_service,tfidf_staff,tfidf_taste,tfidf_tasty,tfidf_time,tfidf_tl,tfidf_view,tfidf_waiters,has_photo,rating_category_encoded,language_encoded
Haci'nin Yeri - Yigit Lokantasi,Gulsum Akar,we went to marmaris with my wife for a holiday we chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food when we first went there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,dataset/taste/hacinin_yeri_gulsum_akar.png,5,taste,en,we went to marmaris with my wife for a holiday we chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food when we first went there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,133,133,666,4.015037593984962,0.0261904761904762,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26028041978256494,0.0,0.0,0.2427090527466513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170811213972338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272639211418258,0.0,0.0,0.0,0.29630268966816703,0.0,0.18506573158269665,0.0,0.0,0.0,0.0,0.23786214051685936,0.25230501846485986,0.0,0.0,0.0,0.0,0.0,0.2553651603702399,0.0,0.0,1,3,2
Haci'nin Yeri - Yigit Lokantasi,Oguzhan Cetin,during my holiday in marmaris we ate here to fit the food it s really good that the food is cheap and nice eating as much bread as you want is a big plus for those who are not satisfied without bread it is a place that i can recommend to those who will go to marmaris on july 1 there was a small increase but even the price hike is cheap i leave the photo of the latest prices and breakfast below there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,dataset/menu/hacinin_yeri_oguzhan_cetin.png,4,menu,en,during my holiday in marmaris we ate here to fit the food it s really good that the food is cheap and nice eating as much bread as you want is a big plus for those who are not satisfied without bread it is a place that i can recommend to those who will go to marmaris on july 1 there was a small increase but even the price hike is cheap i leave the photo of the latest prices and breakfast below there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,183,183,896,3.901639344262295,0.16458333333333333,0.6604166666666667,0.0,0.14948659308513113,0.0,0.0,0.0,0.0,0.0,0.5285287765373332,0.1660317104694802,0.0,0.1642827106880663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6067142380621465,0.0,0.09674385510409704,0.0,0.0,0.0,0.0,0.0,0.1538283495578976,0.0,0.11573155060435575,0.0,0.2005586874160094,0.15128901584345786,0.25053124055995857,0.0,0.15448964271167764,0.0,0.14300413097403616,0.0,0.17077794126153245,0.0,0.0,0.0,0.0,0.0,0.17284926246532262,0.0,0.0,1,1,2
Haci'nin Yeri - Yigit Lokantasi,Yasin Kuyu,prices are very affordable the menu in the photo cost 108 liras you have to wait 10 15 minutes for food staff is annoying well it tastes good boiled meat was delicious,dataset/outdoor_atmosphere/hacinin_yeri_yasin_kuyu.png,3,outdoor_atmosphere,en,prices are very affordable the menu in the photo cost 108 liras you have to wait 10 15 minutes for food staff is annoying well it tastes good boiled meat was delicious,32,32,167,4.25,0.27499999999999997,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29981251717638957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3411038607404321,0.0,0.2719542447555043,0.0,0.0,0.0,0.0,0.0,0.43242304724149966,0.4692703582192552,0.0,0.0,0.0,0.0,0.35213106941433897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434281991977625,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2
Haci'nin Yeri - Yigit Lokantasi,Orhan Kapu,turkey s cheapest artisan restaurant and its food is delicious,dataset/indoor_atmosphere/hacinin_yeri_orhan_kapu.png,5,indoor_atmosphere,en,turkey s cheapest artisan restaurant and its food is delicious,10,10,62,5.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46761535630656764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5320171581890315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058991584771501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
Haci'nin Yeri - Yigit Lokantasi,Ozgur Sati,i don t know what you will look for in terms of price performance point taste but yigit restaurant writes a big plus for those who come to work in this region,dataset/menu/hacinin_yeri_ozgur_sati.png,3,menu,en,i don t know what you will look for in terms of price performance point taste but yigit restaurant writes a big plus for those who come to work in this region,32,32,158,3.96875,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5676284852120014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49986011816203657,0.0,0.0,0.0,0.0,0.0,0.5319518179454311,0.0,0.0,0.0,0.38074273260498936,0.0,0.0,0.0,0.0,0.0,1,1,2
Haci'nin Yeri - Yigit Lokantasi,Arda Karaca,generally good,dataset/indoor_atmosphere/hacinin_yeri_arda_karaca.png,4,indoor_atmosphere,en,generally good,2,2,14,6.5,0.7,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
Haci'nin Yeri - Yigit Lokantasi,İrem Eren,what you see is 125 tl in total it s a pretty convenient place we can say that it is an artisan restaurant you should not expect a restaurant but they are still quite good in terms of price and performance as of july 1 prices will increase,dataset/taste/hacinin_yeri_irem_eren.png,5,taste,en,what you see is 125 tl in total it s a pretty convenient place we can say that it is an artisan restaurant you should not expect a restaurant but they are still quite good in terms of price and performance as of july 1 prices will increase,48,48,239,4.0,0.31666666666666665,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20592018727294986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21344550735281106,0.32202006464703914,0.2666290273336768,0.0,0.0,0.0,0.0,0.6853883819887737,0.3635024220279838,0.0,0.0,0.0,0.0,0.0,0.36791124830152805,0.0,0.0,1,3,2
Haci'nin Yeri - Yigit Lokantasi,Nadia Salim,delicious food at rock bottom prices friendly staff highly recommend,dataset/taste/hacinin_yeri_nadia_salim.png,5,taste,en,delicious food at rock bottom prices friendly staff highly recommend,10,10,68,5.9,0.5116666666666666,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131676346242416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562982968000316,0.5075362827831622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678167113393539,0.0,0.0,0.0,0.4199021969894716,0.0,0.0,0.0,0.4536270382184264,0.0,0.0,0.0,0.0,0.0,0.0,1,3,2
Haci'nin Yeri - Yigit Lokantasi,Mehmet Eser,every time i go i still experience the amazement i experienced years ago as if it were the first time there is no need to explain folk hero is a business,dataset/outdoor_atmosphere/hacinin_yeri_mehmet_eser.png,5,outdoor_atmosphere,en,every time i go i still experience the amazement i experienced years ago as if it were the first time there is no need to explain folk hero is a business,31,31,153,3.967741935483871,0.525,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2,2
Haci'nin Yeri - Yigit Lokantasi,Celal Ozer,the most f p of all businesses i ve seen,dataset/indoor_atmosphere/hacinin_yeri_celal_ozer.png,5,indoor_atmosphere,en,the most f p of all businesses i ve seen,10,10,40,3.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2
